Country Name,Region Code,Country Code,"GDP, PPP (current international $)"," Population, total ",Population CGR 1960-2015,Internet users (per 100 people),Popltn Largest City % of Urban Pop,"2014 Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)",Exports of goods and services (% of GDP)
Lithuania,EU,LTU," 80,699,093,694 "," 2,910,199 ",0.08%,71.4,26.7%,74.0,99.84133148,0.772915619
Latvia,EU,LVA," 48,048,688,556 "," 1,978,440 ",-0.13%,79.2,46.6%,74.2,99.90770721,0.587598502
"Macao SAR, China",EA,MAC," 65,382,963,804 "," 587,606 ",2.26%,77.6,99.5%,80.6,94.59892273,0.777875049
Moldova,EU,MDA," 17,907,592,058 "," 3,554,150 ",0.61%,49.8,45.4%,71.5,99.10359192,0.434294975
Madagascar,AF,MDG," 35,365,948,356 "," 24,235,390 ",2.87%,4.2,30.7%,65.1,62.6137886,0.331825311
Mexico,MA,MEX," 2,194,431,313,648 "," 127,017,224 ",2.21%,57.4,20.9%,76.7,93.5134201,0.35335622
"Macedonia, FYR",EU,MKD," 28,906,996,529 "," 2,078,453 ",0.61%,70.4,42.4%,75.3,96.87072754,0.485253088
Mali,AF,MLI," 42,737,160,309 "," 17,599,694 ",2.22%,10.3,35.8%,58.0,22.1957798,0.218056056
Mongolia,EA,MNG," 36,067,684,621 "," 2,959,134 ",2.08%,21.4,64.6%,69.5,98.55175781,0.449369833
Mozambique,AF,MOZ," 33,176,597,932 "," 27,977,863 ",2.42%,9.0,13.2%,55.0,45.52547073,0.26163924
Malawi,AF,MWI," 20,359,121,923 "," 17,215,232 ",2.88%,9.3,32.3%,62.7,59.03110886,0.281110942
Malaysia,SE,MYS," 815,644,552,977 "," 30,331,007 ",2.42%,71.1,30.2%,74.7,93.1064682,0.710031654
Namibia,AF,NAM," 25,606,197,768 "," 2,458,830 ",2.59%,22.3,32.1%,64.7,90.64672089,0.439047592
Niger,AF,NER," 18,974,643,520 "," 19,899,120 ",3.27%,2.2,29.2%,61.5,11.01572037,0.171769086
Nicaragua,MA,NIC," 31,564,122,172 "," 6,082,032 ",2.26%,19.7,26.7%,74.8,82.64549255,0.375207427
Nepal,SS,NPL," 70,090,459,205 "," 28,513,700 ",1.91%,17.6,22.3%,69.6,54.7505188,0.116520236
Pakistan,SS,PAK," 952,505,420,987 "," 188,924,874 ",2.65%,18.0,22.7%,66.2,42.72716904,0.10946127
Peru,SA,PER," 389,146,724,478 "," 31,376,670 ",2.09%,40.9,40.1%,74.5,91.54062653,0.210291087
Philippines,SE,PHL," 741,029,139,381 "," 100,699,395 ",2.47%,40.7,29.0%,68.3,97.03275299,0.27935343
Poland,EU,POL," 993,129,043,249 "," 37,999,494 ",0.45%,68.0,7.5%,77.3,99.66921234,0.493617911
Portugal,EU,PRT," 302,328,671,399 "," 10,348,648 ",0.28%,68.6,43.9%,80.7,94.13273621,0.403356159
Paraguay,SA,PRY," 60,976,954,890 "," 6,639,123 ",2.30%,44.4,59.5%,72.9,94.95807648,0.418618246
Qatar,ME,QAT," 321,417,765,757 "," 2,235,355 ",7.26%,92.9,32.4%,78.6,97.51200867,0.553665249
Romania,EU,ROU," 424,474,231,139 "," 19,832,389 ",0.14%,55.8,17.3%,75.1,98.45471191,0.410936485
Russian Federation,RU,RUS," 3,579,826,387,385 "," 144,096,812 ",0.33%,73.4,11.4%,70.4,99.7129364,0.295318405
Rwanda,AF,RWA," 20,418,305,189 "," 11,609,666 ",2.53%,18.0,37.6%,64.0,68.26931763,0.144252184
Saudi Arabia,ME,SAU," 1,685,203,505,624 "," 31,540,372 ",3.79%,69.6,24.3%,74.3,91.84068298,0.33749789
Sudan,AF,SDN," 167,908,849,209 "," 40,234,882 ",3.09%,26.6,37.7%,63.5,53.12355042,0.069071088
Senegal,AF,SEN," 36,776,220,601 "," 15,129,273 ",2.88%,21.7,53.2%,66.4,43.80036163,0.277944361
Singapore,SE,SGP," 471,630,937,869 "," 5,535,002 ",2.23%,82.1,100.0%,82.6,94.98401642,1.764949634
Sierra Leone,AF,SLE," 10,264,448,142 "," 6,453,184 ",1.99%,2.5,39.1%,50.9,38.18144989,0.198052722
El Salvador,MA,SLV," 52,701,274,341 "," 6,126,583 ",1.46%,26.9,26.9%,72.8,85.60791779,0.259587934
South Sudan,AF,SSD," 22,829,044,891 "," 12,339,812 ",2.63%,17.9,13.8%,55.7,25.39306068,0.097769917
Chad,AF,TCD," 30,480,978,104 "," 14,037,472 ",2.84%,2.7,39.9%,51.6,31.75429916,0.298325271
Togo,AF,TGO," 10,663,199,059 "," 7,304,578 ",2.82%,7.1,32.8%,59.7,55.30268097,0.458162067
Turkey,ME,TUR," 1,543,283,930,048 "," 78,665,830 ",1.93%,53.7,24.5%,75.2,92.90122223,0.279618162
Tanzania,AF,TZA," 138,461,029,364 "," 53,470,420 ",3.08%,5.4,30.3%,64.9,76.08978271,0.207828762
Uganda,AF,UGA," 71,246,084,679 "," 39,032,383 ",3.23%,19.2,30.8%,58.5,66.78479767,0.174879586
Ukraine,EU,UKR," 339,154,695,998 "," 45,198,200 ",0.11%,49.3,9.3%,71.2,99.73970795,0.527690408
Uruguay,SA,URY," 72,750,983,105 "," 3,431,555 ",0.55%,64.6,52.2%,77.0,98.8039093,0.223019146
Uzbekistan,ME,UZB," 187,667,827,321 "," 31,299,500 ",2.34%,42.8,19.8%,68.3,99.99582672,0.206652496
Vietnam,SE,VNM," 552,297,374,128 "," 91,703,800 ",1.78%,52.7,23.7%,75.6,92.84365845,0.897792486
South Africa,AF,ZAF," 723,515,991,686 "," 54,956,920 ",2.11%,51.9,26.4%,57.2,93.42893219,0.308972318
"Congo, Dem. Rep.",AF,COD," 60,482,256,092 "," 77,266,814 ",2.99%,3.8,35.3%,58.7,65.8973465,0.294904393
Zimbabwe,AF,ZWE," 27,984,877,195 "," 15,602,751 ",2.62%,16.4,29.7%,57.5,85.28513336,0.262450276
